Tarih,Ay_Yil,Müşteri Adı,Fabrika,Ürün Adı,Mevcut Fiyat,İndirimli Fiyat,Fark USD,Tonaj,Kur,Tutar USD,Tutar TL,Mevcut Fiyat USD,İndirimli Fiyat USD,Tonaj KG,TCMB Satış Döviz Kuru USD,Gün,Bayi/Müşteri Adı
2025-12-25,2025-12,MIRYILDIZ MUH. INS.SAN.TIC.LTD.STI.,TR16-Adana,Sika Plastiment PZ 3008,,,0.030000000000000027,,,300.0000000000003,12852.33000000001,0.27,0.24,10000.0,42.8411,Perşembe,ASUR MUHENDISLIK GUVENLIK INSAAT
2025-12-24,2025-12,BUYUK ARSLAN INSAAT,TR16-Adana,SikaViscoCrete 6160 W Hi-Tech,,,0.019999999999999962,,,539.999999999999,23123.015999999956,0.41,0.39,27000.0,42.8204,Çarşamba,ASUR MUHENDISLIK GUVENLIK INSAAT
